Solution Number =1
Step		Time Taken(ms)		Scope 
1128		2237		10
1129		2775		10
1130		2092		10
1131		2091		10
1132		1684		10
1133		2474		10
1134		0		0
1135		462		10
1136		552		10
1137		457		10
1138		622		10
1139		671		10
1140		865		10
1141		997		10
1142		927		10
1143		969		10
1144		655		10
1145		677		10
1146		1333		10
1147		1137		10
1148		683		10
1149		1003		10
1150		772		10
1151		862		10
1152		1009		10
1153		2548		10
1154		2591		10
1155		2876		10
1156		2066		10
1157		2513		10
1158		1700		10
1159		2753		10
1160		2565		9
1161		2213		9
1162		2675		9
1163		0		0
1164		548		10
1165		469		10
1166		527		10
1167		492		10
1168		465		10
1169		501		10
1170		492		10
1171		584		10
1172		696		10
1173		581		10
1174		613		10
1175		1079		10
1176		1134		10
1177		633		10
1178		855		10
1179		1115		10
1180		1591		10
1181		1873		10
1182		1517		10
1183		2018		10
1184		1211		10
1185		2535		9
1186		2978		9
1187		2509		9
1188		2299		9
1189		1932		9
1190		1813		9
1191		2914		10
1192		0		0
1193		723		10
1194		599		10
1195		543		10
1196		769		10
1197		612		10
1198		842		10
1199		783		10
1200		717		10
1201		641		10
1202		888		10
1203		660		10
1204		1443		10
1205		1161		10
1206		1124		10
1207		1106		10
1208		1212		10
1209		1001		10
1210		1438		10
1211		1942		10
1212		1480		10
1213		1695		10
1214		2065		10
1215		2252		10
1216		1891		10
1217		1833		10
1218		2762		10
1219		2977		10
1220		2836		10
1221		2080		10
1222		1624		10
1223		1544		9
1224		2792		10
1225		2358		10
1226		1951		9
1227		2432		10
1228		0		0
1229		446		10
1230		1103		10
1231		658		10
1232		695		10
1233		717		10
1234		765		10
1235		675		10
1236		1131		10
1237		922		10
1238		1084		10
1239		1248		10
1240		1291		10
1241		1393		10
1242		1547		10
1243		2187		10
1244		2905		10
1245		2170		10
1246		1776		10
1247		1412		10
1248		2098		10
1249		2672		10
1250		2222		9
1251		0		0
1252		596		10
1253		555		10
1254		528		10
1255		726		10
1256		962		10
1257		540		10
1258		929		10
1259		733		10
1260		768		10
1261		626		10
1262		1046		10
1263		1130		10
1264		972		10
1265		847		10
